USA;United States;;;;;;;;;;;;;x;;;;
USA_ADJ;American;;;;;;;;;;;;x;;;;
USA_social_democrat;Democratic Socialists of America;;;;;;;;;;;;;x;;;;
USA_socialist;American Independence Party;;;;;;;;;;;;;x;;;;
USA_communist;American Revolutionary Party;;;;;;;;;;;;;x;;;;
USA_liberal;Democratic Party;;;;;;;;;;;;;x;;;;
USA_anarcho_liberal;American Libertarian Party;;;;;;;;;;;;;x;;;;
USA_green;American Green Party;;;;;;;;;;;;;x;;;;
USA_conservative;Republican Party;;;;;;;;;;;;;x;;;;
USA_nationalist;American Party;;;;;;;;;;;;;x;;;;
USA_traditionalist;American Constitution Party;;;;;;;;;;;;;x;;;;
USA_ultranationalist;American Ultranationalists;;;;;;;;;;;;;x;;;;
