VAN;Vanuatu;;;;;;;;;;;;;x;;;;
VAN_ADJ;Vanuatu;;;;;;;;;;;;;x;;;;
VAN_social_democrat;Democratic Socialists of Vanuatu;;;;;;;;;;;;;x;;;;
VAN_socialist;Socialist Party of Vanuatu;;;;;;;;;;;;;x;;;;
VAN_communist;Vanuatu Revolutionary Party;;;;;;;;;;;;;x;;;;
VAN_liberal;Vanuatu Democratic Party;;;;;;;;;;;;;x;;;;
VAN_anarcho_liberal;Vanuatu Libertarian Party;;;;;;;;;;;;;x;;;;
VAN_green;Vanuatu Green Party;;;;;;;;;;;;;x;;;;
VAN_conservative;Vanuatu Republican Party;;;;;;;;;;;;;x;;;;
VAN_nationalist;Vanuatu Party;;;;;;;;;;;;;x;;;;
VAN_traditionalist;Vanuatu Constitution Party;;;;;;;;;;;;;x;;;;
VAN_ultranationalist;Vanuatu Ultranationalist;;;;;;;;;;;;;x;;;;
