VEN;Venezuela;;;;;;;;;;;;;x;;;;
VEN_ADJ;Venezuela;;;;;;;;;;;;;x;;;;
VEN_social_democrat;Democratic Socialists of Venezuela;;;;;;;;;;;;;x;;;;
VEN_socialist;Socialist Party of Venezuela;;;;;;;;;;;;;x;;;;
VEN_communist;Revolutionary Armed Forces of Venezuela;;;;;;;;;;;;;x;;;;
VEN_liberal;Venezuelan Democratic Party;;;;;;;;;;;;;x;;;;
VEN_anarcho_liberal;Venezuelan Libertarian Party;;;;;;;;;;;;;x;;;;
VEN_green;Venezuelan Green Party;;;;;;;;;;;;;x;;;;
VEN_conservative;Venezuelan Republican Party;;;;;;;;;;;;;x;;;;
VEN_nationalist;Venezuelan Independance Party;;;;;;;;;;;;;x;;;;
VEN_traditionalist;Venezuelan Traditionalist;;;;;;;;;;;;;x;;;;
VEN_ultranationalist;Venezuelan Ultranationalists;;;;;;;;;;;;;x;;;;
