VIC;Victoria;;;;;;;;;;;;;x;;;;
VIC_ADJ;Victoria;;;;;;;;;;;;;x;;;;
VIC_social_democrat;Democratic Socialists of Victoria;;;;;;;;;;;;;x;;;;
VIC_socialist;Socialist Party of Victoria;;;;;;;;;;;;;x;;;;
VIC_communist;Victoria Revolutionary Party;;;;;;;;;;;;;x;;;;
VIC_liberal;Victoria Democratic Party;;;;;;;;;;;;;x;;;;
VIC_anarcho_liberal;Victoria Libertarian Party;;;;;;;;;;;;;x;;;;
VIC_green;Victoria Green Party;;;;;;;;;;;;;x;;;;
VIC_conservative;Victoria Republican Party;;;;;;;;;;;;;x;;;;
VIC_nationalist;Victoria Party;;;;;;;;;;;;;x;;;;
VIC_traditionalist;Victoria Constitution Party;;;;;;;;;;;;;x;;;;
VIC_ultranationalist;Victoria Ultranationalist;;;;;;;;;;;;;x;;;;
