VIT;Vietnam;;;;;;;;;;;;;x;;;;
VIT_ADJ;Vietnam;;;;;;;;;;;;;x;;;;
VIT_social_democrat;Democratic Socialists of Vietnam;;;;;;;;;;;;;x;;;;
VIT_socialist;Socialist Party of Vietnam;;;;;;;;;;;;;x;;;;
VIT_communist;Vietnam Revolutionary Party;;;;;;;;;;;;;x;;;;
VIT_liberal;Vietnam Democratic Party;;;;;;;;;;;;;x;;;;
VIT_anarcho_liberal;Vietnam Libertarian Party;;;;;;;;;;;;;x;;;;
VIT_green;Vietnam Green Party;;;;;;;;;;;;;x;;;;
VIT_conservative;Vietnam Republican Party;;;;;;;;;;;;;x;;;;
VIT_nationalist;Vietnam Party;;;;;;;;;;;;;x;;;;
VIT_traditionalist;Vietnam Constitution Party;;;;;;;;;;;;;x;;;;
VIT_ultranationalist;Vietnam Ultranationalist;;;;;;;;;;;;;x;;;;
