VOL;Volgograd;;;;;;;;;;;;;x;;;;
VOL_ADJ;Volgograd;;;;;;;;;;;;;x;;;;
VOL_social_democrat;Democratic Socialists of Volgograd;;;;;;;;;;;;;x;;;;
VOL_socialist;Socialist Party of Volgograd;;;;;;;;;;;;;x;;;;
VOL_communist;Volgograd Revolutionary Party;;;;;;;;;;;;;x;;;;
VOL_liberal;Volgograd Democratic Party;;;;;;;;;;;;;x;;;;
VOL_anarcho_liberal;Volgograd Libertarian Party;;;;;;;;;;;;;x;;;;
VOL_green;Volgograd Green Party;;;;;;;;;;;;;x;;;;
VOL_conservative;Volgograd Republican Party;;;;;;;;;;;;;x;;;;
VOL_nationalist;Volgograd Party;;;;;;;;;;;;;x;;;;
VOL_traditionalist;Volgograd Constitution Party;;;;;;;;;;;;;x;;;;
VOL_ultranationalist;Volgograd Ultranationalist;;;;;;;;;;;;;x;;;;
