WAF;Wallis and Futuna;;;;;;;;;;;;;x;;;;
WAF_ADJ;Wallis and Futuna;;;;;;;;;;;;;x;;;;
WAF_social_democrat;Democratic Socialists of Wallis and Futuna;;;;;;;;;;;;;x;;;;
WAF_socialist;Socialist Party of Wallis and Futuna;;;;;;;;;;;;;x;;;;
WAF_communist;Wallis and Futuna Revolutionary Party;;;;;;;;;;;;;x;;;;
WAF_liberal;Wallis and Futuna Democratic Party;;;;;;;;;;;;;x;;;;
WAF_anarcho_liberal;Wallis and Futuna Libertarian Party;;;;;;;;;;;;;x;;;;
WAF_green;Wallis and Futuna Green Party;;;;;;;;;;;;;x;;;;
WAF_conservative;Wallis and Futuna Republican Party;;;;;;;;;;;;;x;;;;
WAF_nationalist;Wallis and Futuna Party;;;;;;;;;;;;;x;;;;
WAF_traditionalist;Wallis and Futuna Constitution Party;;;;;;;;;;;;;x;;;;
WAF_ultranationalist;Wallis and Futuna Ultranationalist;;;;;;;;;;;;;x;;;;
