WRA;Western Red Army;;;;;;;;;;;;;x;;;;
WRA_ADJ;Western Red Army;;;;;;;;;;;;;x;;;;
WRA_social_democrat;Democratic Socialists of Western Red Army;;;;;;;;;;;;;x;;;;
WRA_socialist;Western Red Army (Moderates);;;;;;;;;;;;;x;;;;
WRA_communist;Western Red Army (Hardliners);;;;;;;;;;;;;;x;;;;
WRA_liberal;Western Red Army Democratic Party;;;;;;;;;;;;;x;;;;
WRA_anarcho_liberal;Western Red Army Libertarian Party;;;;;;;;;;;;;x;;;;
WRA_green;Western Red Army Green Party;;;;;;;;;;;;;x;;;;
WRA_conservative;Western Red Army Republican Party;;;;;;;;;;;;;x;;;;
WRA_nationalist;Western Red Army Party;;;;;;;;;;;;;x;;;;
WRA_traditionalist;Western Red Army Constitution Party;;;;;;;;;;;;;x;;;;
WRA_ultranationalist;Western Red Army Ultranationalist;;;;;;;;;;;;;x;;;;
