YEM;Yemen;;;;;;;;;;;;;x;;;;
YEM_ADJ;Yemen;;;;;;;;;;;;;x;;;;
YEM_social_democrat;Democratic Socialists of Yemen;;;;;;;;;;;;;x;;;;
YEM_socialist;Socialist Party of Yemen;;;;;;;;;;;;;x;;;;
YEM_communist;Yemen Revolutionary Party;;;;;;;;;;;;;x;;;;
YEM_liberal;Yemen Democratic Party;;;;;;;;;;;;;x;;;;
YEM_anarcho_liberal;Yemen Libertarian Party;;;;;;;;;;;;;x;;;;
YEM_green;Yemen Green Party;;;;;;;;;;;;;x;;;;
YEM_conservative;Yemen Republican Party;;;;;;;;;;;;;x;;;;
YEM_nationalist;Yemen Party;;;;;;;;;;;;;x;;;;
YEM_traditionalist;Yemen Constitution Party;;;;;;;;;;;;;x;;;;
YEM_ultranationalist;Yemen Ultranationalist;;;;;;;;;;;;;x;;;;
