YOG;Yoygakarta;;;;;;;;;;;;;x;;;;
YOG_ADJ;Yoygakarta;;;;;;;;;;;;;x;;;;
YOG_social_democrat;Democratic Socialists of Yoygakarta;;;;;;;;;;;;;x;;;;
YOG_socialist;Socialist Party of Yoygakarta;;;;;;;;;;;;;x;;;;
YOG_communist;Yoygakarta Revolutionary Party;;;;;;;;;;;;;x;;;;
YOG_liberal;Yoygakarta Democratic Party;;;;;;;;;;;;;x;;;;
YOG_anarcho_liberal;Yoygakarta Libertarian Party;;;;;;;;;;;;;x;;;;
YOG_green;Yoygakarta Green Party;;;;;;;;;;;;;x;;;;
YOG_conservative;Yoygakarta Republican Party;;;;;;;;;;;;;x;;;;
YOG_nationalist;Yoygakarta Party;;;;;;;;;;;;;x;;;;
YOG_traditionalist;Yoygakarta Constitution Party;;;;;;;;;;;;;x;;;;
YOG_ultranationalist;Yoygakarta Ultranationalist;;;;;;;;;;;;;x;;;;
