ZAM;Zambia;;;;;;;;;;;;;x;;;;
ZAM_ADJ;Zambian;;;;;;;;;;;;;x;;;;
ZAM_social_democrat;Democratic Socialists of Zambia;;;;;;;;;;;;;x;;;;
ZAM_socialist;Socialist Party of Zambia;;;;;;;;;;;;;x;;;;
ZAM_communist;Zambia Revolutionary Party;;;;;;;;;;;;;x;;;;
ZAM_liberal;Zambia Democratic Party;;;;;;;;;;;;;x;;;;
ZAM_anarcho_liberal;Zambia Libertarian Party;;;;;;;;;;;;;x;;;;
ZAM_green;Zambia Green Party;;;;;;;;;;;;;x;;;;
ZAM_conservative;Zambia Republican Party;;;;;;;;;;;;;x;;;;
ZAM_nationalist;Zambia Party;;;;;;;;;;;;;x;;;;
ZAM_traditionalist;Zambia Constitution Party;;;;;;;;;;;;;x;;;;
ZAM_ultranationalist;Zambia Ultranationalist;;;;;;;;;;;;;x;;;;
