ZAS;Congo-Stanleyville;;;;;;;;;;;;;x;;;;
ZAS_ADJ;Congo-Stanleyville;;;;;;;;;;;;;x;;;;
ZAS_social_democrat;Democratic Socialists of Congo-Stanleyville;;;;;;;;;;;;;x;;;;
ZAS_socialist;Socialist Party of Congo-Stanleyville;;;;;;;;;;;;;x;;;;
ZAS_communist;Congo-Stanleyville Revolutionary Party;;;;;;;;;;;;;x;;;;
ZAS_liberal;Congo-Stanleyville Democratic Party;;;;;;;;;;;;;x;;;;
ZAS_anarcho_liberal;Congo-Stanleyville Libertarian Party;;;;;;;;;;;;;x;;;;
ZAS_green;Congo-Stanleyville Green Party;;;;;;;;;;;;;x;;;;
ZAS_conservative;Congo-Stanleyville Republican Party;;;;;;;;;;;;;x;;;;
ZAS_nationalist;Congo-Stanleyville Party;;;;;;;;;;;;;x;;;;
ZAS_traditionalist;Congo-Stanleyville Constitution Party;;;;;;;;;;;;;x;;;;
ZAS_ultranationalist;Congo-Stanleyville Ultranationalist;;;;;;;;;;;;;x;;;;
