REB;Rebels;;;;;;;;;;;;;x;;;;
BCB;British Columbia;;;;;;;;;;;;;x;;;;
CPR;Canadian Prairies;;;;;;;;;;;;;x;;;;
MAR;Canadian Maritimes;;;;;;;;;;;;;x;;;;
NFL;Newfoundland;;;;;;;;;;;;;x;;;;
NWT;Northwest Territories;;;;;;;;;;;;;x;;;;
ONT;Ontario;;;;;;;;;;;;;x;;;;
QBC;Quebec;;;;;;;;;;;;;x;;;;
ASK;Alaska;;;;;;;;;;;;;x;;;;
ASW;American Southwest;;;;;;;;;;;;;x;;;;
CAL;California;;;;;;;;;;;;;x;;;;
GPL;Great Plains;;;;;;;;;;;;;x;;;;
IMT;Intermountain;;;;;;;;;;;;;x;;;;
OZK;Ozark;;;;;;;;;;;;;x;;;;
PNW;Pacific Northwest;;;;;;;;;;;;;x;;;;
TEX;Texas;;;;;;;;;;;;;x;;;;
CAR;Carolina;;;;;;;;;;;;;x;;;;
DIX;Dixie;;;;;;;;;;;;;x;;;;
FLA;Florida;;;;;;;;;;;;;x;;;;
ILL;Illinois;;;;;;;;;;;;;x;;;;
MAT;Mid-Atlantic;;;;;;;;;;;;;x;;;;
NAP;North Appalachia;;;;;;;;;;;;;x;;;;
NEN;New England;;;;;;;;;;;;;x;;;;
NOL;New Orleans;;;;;;;;;;;;;x;;;;
NYC;New York City;;;;;;;;;;;;;x;;;;
SAP;South Appalachia;;;;;;;;;;;;;x;;;;
UGL;Great Lakes;;;;;;;;;;;;;x;;;;
UMW;Upper Midwest;;;;;;;;;;;;;x;;;;
NCA;North California;;;;;;;;;;;;;x;;;;
NTX;North Texas;;;;;;;;;;;;;x;;;;
SCA;South California;;;;;;;;;;;;;x;;;;
STX;South Texas;;;;;;;;;;;;;x;;;;
WCA;West Canada;;;;;;;;;;;;;x;;;;
ECA;East Canada;;;;;;;;;;;;;x;;;;
CAN;Canada;;;;;;;;;;;;;x;;;;
SON;Sonora;;;;;;;;;;;;;x;;;;
CHH;Chihuahua;;;;;;;;;;;;;x;;;;
RGR;Rio Grande;;;;;;;;;;;;;x;;;;
BAJ;Bajio;;;;;;;;;;;;;x;;;;
CDM;Mexico City;;;;;;;;;;;;;x;;;;
WMX;West Mexico;;;;;;;;;;;;;x;;;;
EMX;East Mexico;;;;;;;;;;;;;x;;;;
CHP;Chiapas;;;;;;;;;;;;;x;;;;
YUC;Yucatan;;;;;;;;;;;;;x;;;;
GRN;Greenland;;;;;;;;;;;;;x;;;;
ICE;Iceland;;;;;;;;;;;;;x;;;;
