welsh;Welsh;;;;;;;;;;;;;x;;;;
scotish;Scotish;;;;;;;;;;;;;x;;;;
england;England;;;;;;;;;;;;;x;;;;
belgian;Belgian;;;;;;;;;;;;;x;;;;
luxembourgian;Luxembourgian;;;;;;;;;;;;;x;;;;
montenegran;Montenegran;;;;;;;;;;;;;x;;;;
north_macedonian;North Macedonian;;;;;;;;;;;;;x;;;;
moroccan;Moroccan;;;;;;;;;;;;;x;;;;
algerian;Algerian;;;;;;;;;;;;;x;;;;
tunisian;Tunisian;;;;;;;;;;;;;x;;;;
libyan;Libyan;;;;;;;;;;;;;x;;;;
egyptian;Egyptian;;;;;;;;;;;;;x;;;;
israeli;Israeli;;;;;;;;;;;;;x;;;;
palestinian;Palestinian;;;;;;;;;;;;;x;;;;
saudi;Saudi;;;;;;;;;;;;;x;;;;
jordanian;Jordanian;;;;;;;;;;;;;x;;;;
syrian;Syrian;;;;;;;;;;;;;x;;;;
iraqi;Iraqi;;;;;;;;;;;;;x;;;;
kuwaiti;Kuwaiti;;;;;;;;;;;;;x;;;;
bahraian;Bahraian;;;;;;;;;;;;;x;;;;
qatar;Qatar;;;;;;;;;;;;;x;;;;
emirates;Emirates;;;;;;;;;;;;;x;;;;
omani;Omani;;;;;;;;;;;;;x;;;;
yemeni;Yemeni;;;;;;;;;;;;;x;;;;
eritrean;Eritrean;;;;;;;;;;;;;x;;;;
ethiopian;Ethiopian;;;;;;;;;;;;;x;;;;
eastern_african;Eastern African;;;;;;;;;;;;;x;;;;
ugandan;Ugandan;;;;;;;;;;;;;x;;;;
south_sudanese;South Sudanese;;;;;;;;;;;;;x;;;;
zairian;Zairian;;;;;;;;;;;;;x;;;;
mauritanian;Mauritanian;;;;;;;;;;;;;x;;;;
malian;Malian;;;;;;;;;;;;;x;;;;
guinean;Guinean;;;;;;;;;;;;;x;;;;
sierra_leonean;Sierra Leonean;;;;;;;;;;;;;x;;;;
liberian;Liberian;;;;;;;;;;;;;x;;;;
ivorian;Ivorian;;;;;;;;;;;;;x;;;;
voltan;Voltan;;;;;;;;;;;;;x;;;;
togoan;Togoan;;;;;;;;;;;;;x;;;;
benin;Benin;;;;;;;;;;;;;x;;;;
niger;Niger;;;;;;;;;;;;;x;;;;
nigerian;Nigerian;;;;;;;;;;;;;x;;;;
ambazonian;Ambazonian;;;;;;;;;;;;;x;;;;
cameroon;Cameroon;;;;;;;;;;;;;x;;;;
equatorial;Equatorial;;;;;;;;;;;;;x;;;;
gabonian;Gabonian;;;;;;;;;;;;;x;;;;
congolese;Congolese;;;;;;;;;;;;;x;;;;
angolan;Angolan;;;;;;;;;;;;;x;;;;
