print_money_hyperdeflation_title;Print Money;;;;;;;;;;;;;x;;;;
print_money_hyperdeflation_NEWS_LONG;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_hyperdeflation_NEWS_MEDIUM;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_hyperdeflation_NEWS_SHORT;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_hyperdeflation_desc;We can instruct the $COUNTRY_ADJ$ Central Bank to print money for government use. Given the dramatic hyperdeflation in our country, the economic consensus is to adopt a very proactive stance to stabilize the currency and, as a side effect, boost government revenue in the short term.;;;;;;;;;;;;;x;;;;
print_money_rapid_deflation_title;Print Money;;;;;;;;;;;;;x;;;;
print_money_rapid_deflation_NEWS_LONG;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_rapid_deflation_NEWS_MEDIUM;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_rapid_deflation_NEWS_SHORT;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_rapid_deflation_desc;We can instruct the $COUNTRY_ADJ$ Central Bank to print money for government use. Some economists consider our sudden deflation just a transient adjustment towards better economic times, and some others consider that a more proactive approach can be more effective to stabilize the currency and boost the government's coffers.;;;;;;;;;;;;;x;;;;
print_money_deflation_title;Print Money;;;;;;;;;;;;;x;;;;
print_money_deflation_NEWS_LONG;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_deflation_NEWS_MEDIUM;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_deflation_NEWS_SHORT;Economists observe an increase in the $COUNTRY_ADJ$ money supply to combat deflation.;;;;;;;;;;;;;x;;;;
print_money_deflation_desc;We can instruct the $COUNTRY_ADJ$ Central Bank to print money for government use. Some economists tout the benenfits of small positive inflation and a short term boost to the government coffers, and consider that a slightly depreciating currency will be more benenficial to investments than a slightly appreciating one, although others consider the minor currency appreciation a natural fluctuation of the markets.;;;;;;;;;;;;;x;;;;
print_money_very_low_inflation_title;Print Money;;;;;;;;;;;;;x;;;;
print_money_very_low_inflation_NEWS_LONG;Economists observe an increase in the $COUNTRY_ADJ$ money supply.;;;;;;;;;;;;;x;;;;
print_money_very_low_inflation_NEWS_MEDIUM;Economists observe an increase in the $COUNTRY_ADJ$ money supply.;;;;;;;;;;;;;x;;;;
print_money_very_low_inflation_NEWS_SHORT;Economists observe an increase in the $COUNTRY_ADJ$ money supply.;;;;;;;;;;;;;x;;;;
print_money_very_low_inflation_desc;We can instruct the $COUNTRY_ADJ$ Central Bank to print money for government use. This will boost government revenue in the short term, at the cost of slightly increasing inflation due to the increased money supply. Some economists consider that a slightly higher inflation rate could also boost the economy as a whole.;;;;;;;;;;;;;x;;;;
print_money_low_inflation_title;Print Money;;;;;;;;;;;;;x;;;;
print_money_low_inflation_NEWS_LONG;Economists observe an increase in the $COUNTRY_ADJ$ money supply.;;;;;;;;;;;;;x;;;;
print_money_low_inflation_NEWS_MEDIUM;Economists observe an increase in the $COUNTRY_ADJ$ money supply.;;;;;;;;;;;;;x;;;;
print_money_low_inflation_NEWS_SHORT;Economists observe an increase in the $COUNTRY_ADJ$ money supply.;;;;;;;;;;;;;x;;;;
