toggle_hide_propaganda_title;Hide Propaganda Campaigns;;;;;;;;;;;;;x;;;;
toggle_hide_propaganda_desc;Depending on our government and ideology, we may have up to ten available propaganda campaigns to choose from, which can clutter the decisions window. If you're not interested in reviewing your propaganda options at this time, you can pick this decision to hide them from the political decisions list. Don't worry, you can toggle them back on if you'd like.;;;;;;;;;;;;;x;;;;
toggle_show_propaganda_title;Show Propaganda Campaigns;;;;;;;;;;;;;x;;;;
toggle_show_propaganda_desc;Depending on our government and ideology, we may have up to ten available propaganda campaigns to choose from. If you would like to review them, you can pick this decision to show them all in the political decisions list. If it gets too cluttered, you can toggle them back off if you'd like.;;;;;;;;;;;;;x;;;;
propaganda_socdem_boost_title;Broadcast Social Democrat Propaganda;;;;;;;;;;;;;x;;;;
propaganda_socdem_boost_desc;A large cadre of artists, activists and socially-minded folks have been actively spreading social democratic values in $COUNTRY_ADJ$ communities. With a bit of government funding and official backing, we may expand their reach across the masses.;;;;;;;;;;;;;x;;;;
propaganda_socdem_reduce_title;Broadcast Anti-Social Democrat Propaganda;;;;;;;;;;;;;x;;;;
propaganda_socdem_reduce_desc;Of all the dangers of our nation, none is more pernicious than the Social Democrats. Despite the inherent contradictions of their ideology-straddling beliefs, a significant portion of our people follow them, and we ought to show them the errors of their views.;;;;;;;;;;;;;x;;;;
propaganda_socialist_boost_title;Broadcast Socialist Propaganda;;;;;;;;;;;;;x;;;;
propaganda_socialist_boost_desc;There is a spectre haunting $COUNTRY$, the spectre of socialism. And you can hear its revolutionary voice at workplaces, restaurants, and even at home. Is it not our duty to amplify these voices, for the sake of our nation, our citizens, and of all mankind?;;;;;;;;;;;;;x;;;;
propaganda_socialist_reduce_title;Broadcast Anti-Socialist Propaganda;;;;;;;;;;;;;x;;;;
propaganda_socialist_reduce_desc;No one likes a Socialist. Too moderate for true Marxists, and too radical for the liberals and conservatives. Yet, they exist in significant numbers among us, and we ought to enact a propaganda campaign to reduce their influence on our politics.;;;;;;;;;;;;;x;;;;
propaganda_communist_boost_title;Broadcast Communist Propaganda;;;;;;;;;;;;;x;;;;
propaganda_communist_boost_desc;Workers of $COUNTRY$, unite! The Vanguard Party is here to bear the torch of Marxism-Leninism, shining our new path towards the establishment of a Socialist State, and of a just, humanist, prosperous world. We must fire up the Agitprop presses and remind our comrades of this fact!;;;;;;;;;;;;;x;;;;
propaganda_communist_reduce_title;Broadcast Anti-Communist Propaganda;;;;;;;;;;;;;x;;;;
propaganda_communist_reduce_desc;Radical Communists don't want change, they want destruction. Destruction of our way of life, of our institutions, of our freedoms. Despite the self-evident destructive nature, a large portion of our population follows them! We ought to publicize their failures and dangers to the public at large.;;;;;;;;;;;;;x;;;;
propaganda_liberal_boost_title;Broadcast Liberal Propaganda;;;;;;;;;;;;;x;;;;
propaganda_liberal_boost_desc;From the large business owner to the humble blue collar worker, through our rising wages, educational achievements and economic growth, we are showing the world that a free, pluralistic society is better than the alternatives. Let our products and our values be our ambassadors, both in $COUNTRY$ and abroad.;;;;;;;;;;;;;x;;;;
propaganda_liberal_reduce_title;Broadcast Anti-Liberal Propaganda;;;;;;;;;;;;;x;;;;
propaganda_liberal_reduce_desc;Liberalism as a whole is but a weak and decadent byproduct of all the issues of the 20th Century. Yet, several of our citizens follow such selfish ideology! By showing them the vices and pitfalls of a liberal society, we may be able to correct their ways.;;;;;;;;;;;;;x;;;;
propaganda_anarcho_liberal_boost_title;Broadcast Libertarian Propaganda;;;;;;;;;;;;;x;;;;
propaganda_anarcho_liberal_boost_desc;In a society where the successful are eloquent, there is little reason for propaganda, our endeavors speak for themselves. However, not everybody thinks that way, deluded by the false idols of tradition and collectivism. So let us spotlight our achievements!;;;;;;;;;;;;;x;;;;
propaganda_anarcho_liberal_reduce_title;Broadcast Anti-Libertarian Propaganda;;;;;;;;;;;;;x;;;;
