rethink_academia_title;Rethink our Academic Priorities;;;;;;;;;;;;;x;;;;
rethink_academia_NEWS_LONG;$COUNTRY$ has cancelled a significant portion of its ongoing research projects in a dramatic restructuring of its research priorities. There is no comment on their new priorities, or if there will be an official research policy at all.;;;;;;;;;;;;;x;;;;
rethink_academia_NEWS_MEDIUM;The nation of $COUNTRY$ has revamped its national research priorities. "We must adapt to the times," $COUNTRY_ADJ$ scientists say.;;;;;;;;;;;;;x;;;;
rethink_academia_NEWS_SHORT;$COUNTRY$ is refocusing its research efforts to better address the challenges of today's world.;;;;;;;;;;;;;x;;;;
rethink_academia_desc;As time goes on, as economic, political, diplomatic and military cirumstances change, our research priorities must adapt accordingly. Although disruptive in the short term, rethinking our academic priorities may be worth it if we aim to focus on a different line of research.;;;;;;;;;;;;;x;;;;
traditional_academic_expansion_title;Focus our Research;;;;;;;;;;;;;x;;;;
traditional_academic_expansion_NEWS_LONG;The government of $COUNTRY$ has convened a large array of scientists and academics to encourage them to follow a certain line of research, as dictated by $CAPITAL$. The challenge lies, according to $COUNTRY_ADJ$ ministers, in aligning their nation's academia towards addressing the strategic challenges of $COUNTRY$.;;;;;;;;;;;;;x;;;;
traditional_academic_expansion_NEWS_MEDIUM;$CAPITAL$ lawmakers have set forth a new research policy for $COUNTRY$, seeking to boost their research in key areas of interest.;;;;;;;;;;;;;x;;;;
traditional_academic_expansion_NEWS_SHORT;The $COUNTRY_ADJ$ Academy of Sciences has convened in $CAPITAL$ for a review of their research priorities.;;;;;;;;;;;;;x;;;;
traditional_academic_expansion_desc;We can convene the $COUNTRY_ADJ$ Academy of Sciences and focus our national research efforts into either military affairs or socioeconomic development. Although these are broad research fields, our experts believe we will be able to focus on more specialized lines of research over time.;;;;;;;;;;;;;x;;;;
military_school_focus_title;Focus our Military Research;;;;;;;;;;;;;x;;;;
military_school_focus_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
military_school_focus_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
military_school_focus_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
military_school_focus_desc;As we focus our research in military affairs, there are two schools of thought competing for projects and funding: Defense and Deterrence, and Power Projection. We could spearhead and streamline our overall research by focusing on either of them, although our other research areas might lag behind.;;;;;;;;;;;;;x;;;;
economic_school_focus_title;Focus our National Development Research;;;;;;;;;;;;;x;;;;
economic_school_focus_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
economic_school_focus_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
economic_school_focus_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
economic_school_focus_desc;As we focus our research in national development, there are three schools of thought competing for projects and funding: Economics, Sociology, and Industry. We could spearhead and streamline our overall research by focusing on one of them, although our other research areas might lag behind.;;;;;;;;;;;;;x;;;;
refine_defense_n_deterrence_title;Refine the Defense and Deterrence School;;;;;;;;;;;;;x;;;;
refine_defense_n_deterrence_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
refine_defense_n_deterrence_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
refine_defense_n_deterrence_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
refine_defense_n_deterrence_desc;We can further refine the research performed by the Defense and Deterrence School to encompass other synergistic fields of study, increasing our overall research capabilities even more. However, this comes at a greater cost for the other areas of research we may engage in.;;;;;;;;;;;;;x;;;;
refine_power_projection_title;Refine the Power Projection School;;;;;;;;;;;;;x;;;;
refine_power_projection_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
refine_power_projection_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
refine_power_projection_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
refine_power_projection_desc;We can further refine the research performed by the Power Projection School to encompass other synergistic fields of study, increasing our overall research capabilities even more. However, this comes at a greater cost for the other areas of research we may engage in.;;;;;;;;;;;;;x;;;;
refine_economics_title;Refine the Economics School;;;;;;;;;;;;;x;;;;
refine_economics_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
refine_economics_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
refine_economics_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
refine_economics_desc;We can further refine the research performed by the Economics and Finance School to encompass other synergistic fields of study, increasing our overall research capabilities even more. However, this comes at a greater cost for the other areas of research we may engage in.;;;;;;;;;;;;;x;;;;
refine_sociology_title;Refine the Sociology School;;;;;;;;;;;;;x;;;;
refine_sociology_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
refine_sociology_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
refine_sociology_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
refine_sociology_desc;We can further refine the research performed by the Sociology and Political Science School to encompass other synergistic fields of study, increasing our overall research capabilities even more. However, this comes at a greater cost for the other areas of research we may engage in.;;;;;;;;;;;;;x;;;;
refine_industrial_title;Refine the Industrial School;;;;;;;;;;;;;x;;;;
refine_industrial_NEWS_LONG;long news is long;;;;;;;;;;;;;x;;;;
refine_industrial_NEWS_MEDIUM;medium news is medium;;;;;;;;;;;;;x;;;;
refine_industrial_NEWS_SHORT;short news is short;;;;;;;;;;;;;x;;;;
refine_industrial_desc;We can further refine the research performed by the Industrial and Transportation School to encompass other synergistic fields of study, increasing our overall research capabilities even more. However, this comes at a greater cost for the other areas of research we may engage in.;;;;;;;;;;;;;x;;;;
