EVT_101_NAME;The Republic of British Columbia;;;;;;;;;;;;;x;;;;
EVT_101_DESC;After the Second World War, the Conservative-Liberal Coalition that had ruled over British Columbia had collapsed, and the political vacuum that it left behind was filled by the British Columbia Social Credit Party, led by William Andrew Cecil "W. A. C." Bennett, who held the reins of power in the province for the next thirty years.\n\nThe economic growth and prosperity was particularly felt in Western Canada, especially with the discovery and exploitation of natural resources in the Prairie provinces and the Pacific coast of Canada and the United States. And while the Liberals in Eastern Canada and the right-wing Social Credit Party in Victoria did not see eye to eye in many affairs, they kept an unofficial policy of cooperation and pragmatism.\n\nThis "detente" lasted well until the 70s, and until the death in office of W.A.C. Bennett...;;;;;;;;;;;;;x;;;;
EVT_101_OPTA;Go on...;;;;;;;;;;;;;x;;;;
EVT_102_NAME;The Independent Republic of the Canadian Prairies;;;;;;;;;;;;;x;;;;
EVT_102_DESC;The relationship between the Prairie provinces - Alberta, Saskatchewan and Manitoba - and the government in Ottawa has shifted between begrudging acceptance and open hostility throughout the years. Far from the centers of power and major ports in Canada, the prairie nations developed their own independent culture and a sense of rebelliousness.\n\nThis so-called "Western Alienation" was tampered down by the economic success and redistribution of wealth across the provinces in the post-war era, but with the deteriorating situation in Ontario and Quebec, and the increasing centralization of the rent of the land in Ottawa, the provinces rebelled.\n\nAfter years of political protests, the Resource Wars of 1971 brought the economic flow between Eastern and Western canada to a standstill and were, alongside the Quebecois independence movements, the catalysts to reform the Canadian political and governance structure...;;;;;;;;;;;;;x;;;;
EVT_102_OPTA;Go on...;;;;;;;;;;;;;x;;;;
EVT_103_NAME;The Union of the Canadian Maritimes;;;;;;;;;;;;;x;;;;
EVT_103_DESC;Located between New England, Quebec and Newfoundland, the Union of the Canadian Maritimes is the final result of a decades-long unification process between the former Canadian provinces of New Brunswick, Nova Scotia, and Prince Edward Island.\n\nAlthough its declining industry was slowly overshadowed by the bigger provinces and cities in the south and west, the Maritimes reaped the benefits of Canadian political and economic stability in the post-war period, acting as the Canadian gateway to the Atlantic.\n\nThe increase in trade, shift towards a service economy, and financial transfers between the wealthier provinces and the Maritimes made them a small yet prosperous region in eastern Canada, satisfied with their place in the nation.\n\nHowever, events in Quebec and Ottawa would quickly shatter this idyllic situation...;;;;;;;;;;;;;x;;;;
EVT_103_OPTA;Go on...;;;;;;;;;;;;;x;;;;
EVT_104_NAME;The Republic of Newfoundland;;;;;;;;;;;;;x;;;;
