EVT_7200_NAME;Propaganda Campaign - Success!;;;;;;;;;;;;;x;;;;
EVT_7200_DESC;The recent Anti-Social Democrat information campaigns have proven successful!\n\nWhile there were a few sectors of the population that proved less receptive to our campaigns, opinion polls in $CAPITAL$ and all across $COUNTRY$ have shown a marked decrease in party popularity across almost all demographic sectors and geographical regions.\n\nSociologists warn that these losses may prove short-lived if there is a deterioration of people's living conditions or a marked increase in popular dissent, but for now, we can rejoice in our well-deserved popularity.;;;;;;;;;;;;;x;;;;
EVT_7200_OPTA;Good riddance!;;;;;;;;;;;;;x;;;;
EVT_7201_NAME;Propaganda Campaign - Target Social Strata;;;;;;;;;;;;;x;;;;
EVT_7201_DESC;Social scientists in $CAPITAL$ working in our information campaigns have asserted that the best way to target our information campaign within our population is to segment them by economic strata and focus on one of them: either upper-class, middle-class, or lower-class.\n\nWe may also attempt a generalized campaign and target the entire population to potentially increase our reach, although this comes with risks of backfiring in certain strata.\n\nHow should we target our campaign?;;;;;;;;;;;;;x;;;;
EVT_7201_OPTA;Target the Upper Class.;;;;;;;;;;;;;x;;;;
EVT_7201_OPTB;Target the Middle Class.;;;;;;;;;;;;w;x;;;;
EVT_7201_OPTC;Target the Lower Class.;;;;;;;;;;;;;x;;;;
EVT_7201_OPTD;No preference.;;;;;;;;;;;;;x;;;;
EVT_7202_NAME;Propaganda Campaign - Target Government Employees;;;;;;;;;;;;;x;;;;
EVT_7202_DESC;As employees of the State, $COUNTRY_ADJ$ bureaucrats, academics, and military personnel are a captive audience for our information campaigns.\n\nWe could focous our efforts to target one of these specific groups, thereby significantly decreasing ideological dissent within them. Alternatively, we could broadly target them in order to extend the overall reach of our campaigns.\n\nOther than a possible research setback if we focus too much on academia, sociologists expect few negative effects from these focuses, if any.;;;;;;;;;;;;;x;;;;
EVT_7202_OPTA;Target the Bureaucrats.;;;;;;;;;;;;;x;;;;
EVT_7202_OPTB;Target the Academia and Researchers.;;;;;;;;;;;;;x;;;;
EVT_7202_OPTC;Target the Armed Forces.;;;;;;;;;;;;;x;;;;
EVT_7202_OPTD;No preference.;;;;;;;;;;;;;x;;;;
EVT_7203_NAME;Propaganda Campaign - Target Academia;;;;;;;;;;;;;x;;;;
EVT_7203_DESC;$COUNTRY_ADJ$ academia is a prime target for our information campaigns, both to decrease socially-minded ideals within the sector and on the population at large through proper guidelines.\n\nWe could target educators directly with ideological goals, although this risks pushing out dissenters within academia.\n\nWe could target scientists and their research fields, at the risk of sidelining current projects for political reasons.\n\nWe could review the academic curriculum of our education system to include our desired political topics, although this could result in a temporary drop in education quality.\n\nOr we could adopt a softer stance, and avoid potential undesirable effects.;;;;;;;;;;;;;x;;;;
EVT_7203_OPTA;Target Educators. [All Academics with >7 militancy or consciousness resign];;;;;;;;;;;;;x;;;;
EVT_7203_OPTB;Target Researchers.;;;;;;;;;;;;;x;;;;
EVT_7203_OPTC;Target the Academic Curriculum.;;;;;;;;;;;;;x;;;;
EVT_7203_OPTD;No preference.;;;;;;;;;;;;;x;;;;
EVT_7204_NAME;Propaganda Campaign - Target Armed Forces;;;;;;;;;;;;;x;;;;
EVT_7204_DESC;The Armed Forces of $COUNTRY$ are an ideal - and some say fundamental - target for our information campaigns, and we could further tailor our strategies to go after certain sections of our military.\n\nWe could target the Officer Corps with political education, although we may have to demote staunch dissenters and face some backlash from them.\n\nWe could target the enlisted soldiers, although similarly, we may have to discharge the most rebellious ones and it may affect our military readiness.\n\nWe could aim for both, at the cost of the aforementioned effects, or we could adopt a broad focus and a light touch to avoid the potential negative effects.;;;;;;;;;;;;;x;;;;
EVT_7204_OPTA;Target Officers. [All Officers with >7 militancy or consciousness are demoted];;;;;;;;;;;;;x;;;;
EVT_7204_OPTB;Target Soldiers. [All Soldiers with >7 militancy or consciousness are discharged];;;;;;;;;;;;;x;;;;
EVT_7204_OPTC;Target the Entire Military. [Both of the above];;;;;;;;;;;;;x;;;;
EVT_7204_OPTD;No preference.;;;;;;;;;;;;;x;;;;
EVT_7205_NAME;Propaganda Campaign - Target Public Dissent;;;;;;;;;;;;;x;;;;
