EVT_7500_NAME;'Home Taping is killing music!';;;;;;;;;;;;;x;;;;
EVT_7500_DESC;Music producers and representatives of the recording industry have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts of bootleg recordings and home taping, reducing the sales of legal, copyrighted recordings.\n\nAnti-copyright activists claim that there is no theft as the music was simply copied and shared for personal, non-commercial use, and most of those engaging in piracy would not have purchased it anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7500_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7500_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7500_OPTC;Crack down on them. This is killing the music industry.;;;;;;;;;;;;;x;;;;
EVT_7500_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
EVT_7501_NAME;'Beware of bootleg video casettes!';;;;;;;;;;;;;x;;;;
EVT_7501_DESC;Television producers and representatives of the recording industry have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts of bootleg recordings and home taping, reducing the sales of legal, copyrighted recordings.\n\nAnti-copyright activists claim that there is no theft as the video recordings were simply copied and shared for personal, non-commercial use, and most of those engaging in piracy would not have purchased it anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7501_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7501_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7501_OPTC;Crack down on them. This is killing the cassette industry.;;;;;;;;;;;;;x;;;;
EVT_7501_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
EVT_7502_NAME;'Don't Copy that Floppy!';;;;;;;;;;;;;x;;;;
EVT_7502_DESC;Software developers and representatives of the computer industry have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts of software piracy that reduces the sales of legal, copyrighted software.\n\nAnti-copyright activists claim that there is no theft as the software was simply copied and shared for personal, non-commercial use, and most of those engaging in piracy would not have purchased it anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7502_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7502_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7502_OPTC;Crack down on them. This is killing the software industry.;;;;;;;;;;;;;x;;;;
EVT_7502_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
EVT_7503_NAME;'You wouldn't download a car!';;;;;;;;;;;;;x;;;;
EVT_7503_DESC;Software developers and representatives of the computer and recording industry have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts of illegal downloads and piracy that reduces the sales of legal, copyrighted software.\n\nAnti-copyright activists claim that there is no theft as the digital files are simply downloaded and shared for personal, non-commercial use, and most of those engaging in piracy would not have purchased them anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7503_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7503_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7503_OPTC;Crack down on them. This is killing the online industry.;;;;;;;;;;;;;x;;;;
EVT_7503_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
EVT_7504_NAME;'You can click, but you can't hide!';;;;;;;;;;;;;x;;;;
EVT_7504_DESC;Software developers and representatives of several digital industries have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts software piracy and freebooting online, reducing the sales of legal, copyrighted materials.\n\nAnti-copyright activists claim that there is no theft as the files and media were simply reuploaded and shared for personal, non-commercial use, and most of those engaging in piracy would not have purchased them anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7504_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7504_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7504_OPTC;Crack down on them. This is killing the digital industry.;;;;;;;;;;;;;x;;;;
EVT_7504_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
EVT_7505_NAME;'Virtual world crimes. Real life consequences!';;;;;;;;;;;;;x;;;;
EVT_7505_DESC;Virtual producers and representatives of the software and alt-reality industries have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts of illegal cloning of virtual wares, that reduce sales of legal, copyrighted v-goods.\n\nAnti-copyright activists claim that there is no theft as the vees were simply cloned and shared for personal, non-commercial use, and most of those engaging in piracy would not have purchased them anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7505_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7505_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7505_OPTC;Crack down on them. This is killing the virtual industry.;;;;;;;;;;;;;x;;;;
EVT_7505_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
EVT_7506_NAME;'Be an integral person. Have your own personality!';;;;;;;;;;;;;x;;;;
EVT_7506_DESC;Neuroformers and representatives of the para-reality and hypercognitive industry have gathered today in $CAPITAL$ to meet with lawmakers to address a crisis in their sector: the growing amounts of 'liberated' personas and bootleg personality exponents, reducing the sales of legal, copyrighted personality modules.\n\nAnti-copyright activists claim that there is no theft as the modules were simply cloned and implemented for personal, non-commercial use, and most of those engaging in piracy would not have purchased them anyways. Thus, they should not be punished.\n\nBoth industry leaders and activists are hoping for an official government ruling on these issues in the coming days.;;;;;;;;;;;;;x;;;;
EVT_7506_OPTA;They are within their rights. Information wants to be free.;;;;;;;;;;;;;x;;;;
EVT_7506_OPTB;This is just a minor infringement on copyright laws.;;;;;;;;;;;;;x;;;;
EVT_7506_OPTC;Crack down on them. This is killing the hypercognitive industry.;;;;;;;;;;;;;x;;;;
EVT_7506_OPTD;Piracy is theft, and we cannot tolerate lawbreakers.;;;;;;;;;;;;;x;;;;
