abandoned_rocket_launch_site;Abandoned Rocket Launch Site;;;;;;;;;;;;;x;;;;
abandoned_rocket_launch_site_desc;Present location of a former rocket launch site. While the current facilities are too deteriorated for launches, it is possible to put the land and equipment to better use.;;;;;;;;;;;;;x;;;;
research_park;Science and Technology Park;;;;;;;;;;;;;x;;;;
research_park_desc;An important grouping of research labs and tech institutions.;;;;;;;;;;;;;x;;;;
industrial_park;Major Industrial Park;;;;;;;;;;;;;x;;;;
industrial_park_desc;A major hub for industrial and resource-gathering endeavors.;;;;;;;;;;;;;x;;;;
national_park;National Park;;;;;;;;;;;;;x;;;;
national_park_desc;A protected natural or developed area, established to preserve our natural and/or cultural heritage.;;;;;;;;;;;;;x;;;;
amusement_park;Major Amusement Park;;;;;;;;;;;;;x;;;;
amusement_park_desc;A major entertainment center for the whole family.;;;;;;;;;;;;;x;;;;
tourist_attraction;Major Tourist Attraction;;;;;;;;;;;;;x;;;;
tourist_attraction_desc;A place of interest for domestic and foreign tourists due to its natural, cultural, or historical significance or aesthetic value.;;;;;;;;;;;;;x;;;;
