aristocrats;Landowners;;;;;;;;;;;;;x;;;;
artisans;Small-Business Entrepreneurs;;;;;;;;;;;;;x;;;;
bureaucrats;Bureaucrats;;;;;;;;;;;;;x;;;;
capitalists;Capitalists;;;;;;;;;;;;;x;;;;
clergymen;Academics;;;;;;;;;;;;;x;;;;
clerks;White-Collar Workers;;;;;;;;;;;;;x;;;;
craftsmen;Blue-Collar Workers;;;;;;;;;;;;;x;;;;
farmers;Farmers;;;;;;;;;;;;;x;;;;
labourers;Black-Collar Workers;;;;;;;;;;;;;x;;;;
officers;Officers;;;;;;;;;;;;;x;;;;
slaves;Slaves;;;;;;;;;;;;;x;;;;
soldiers;Soldiers;;;;;;;;;;;;;x;;;;
