social_democrat_rebels_title;Social Democrats;;;;;;;;;;;;;x;;;;
social_democrat_rebels_name;$COUNTRY$ Social Democrats;;;;;;;;;;;;;x;;;;
social_democrat_rebels_desc;Social Democrats are moderate left-wing organizations that typically eschew violentn revolt and revolution, seeking instead to transform capitalism from within, some even advocating for a middle-ground welfare state. They often draw support from the disenfranchised proletariat.;;;;;;;;;;;;;x;;;;
social_democrat_rebels_army;$COUNTRY_ADJ$ Workers' Front;;;;;;;;;;;;;x;;;;
socialist_rebels_title;Socialists;;;;;;;;;;;;;x;;;;
socialist_rebels_name;$COUNTRY$ Socialists;;;;;;;;;;;;;x;;;;
socialist_rebels_desc;Socialists are a wide range of movements, tied together by the common goal of overthrowing the capitalist status quo and establishing a socialist state, either through peaceful or violent revolution.;;;;;;;;;;;;;x;;;;
socialist_rebels_army;$COUNTRY_ADJ$ Liberation Front;;;;;;;;;;;;;x;;;;
communist_rebels_title;Communists;;;;;;;;;;;;;x;;;;
communist_rebels_name;$COUNTRY$ Communists;;;;;;;;;;;;;x;;;;
communist_rebels_desc;Communists seek swift revolution and dismantling of bourgeoise institutions, by force if neccesary. Usually better organized than other left-wing rebels, they often form an united Red Front as they rise up in arms.;;;;;;;;;;;;;x;;;;
communist_rebels_army;$COUNTRY_ADJ$ Red Front;;;;;;;;;;;;;x;;;;
liberal_rebels_title;Liberals;;;;;;;;;;;;;x;;;;
liberal_rebels_name;$COUNTRY$ Liberals;;;;;;;;;;;;;x;;;;
liberal_rebels_desc;Liberal rebels often rise up in opposition to what they perceive as tyrannical government action, and are willing to standn up in arms to counter it. Self-proclaimed "freedom fighters," they advocate for a more liberal, typically smaller, State.;;;;;;;;;;;;;x;;;;
liberal_rebels_army;$COUNTRY_ADJ$ Freedom Fighters;;;;;;;;;;;;;x;;;;
anarcho_liberal_rebels_title;Libertarians;;;;;;;;;;;;;x;;;;
anarcho_liberal_rebels_name;$COUNTRY$ Libertarians;;;;;;;;;;;;;x;;;;
anarcho_liberal_rebels_desc;Libertarians are radical proponents of a small (or minarchist) state, advocating for as much individual freedoms as reasonably possible. Rebel movements often call themselves as "Freemen," or, borrowing an American Revolutionary term, "Minutemen.";;;;;;;;;;;;;x;;;;
anarcho_liberal_rebels_army;$COUNTRY_ADJ$ Minutemen;;;;;;;;;;;;;x;;;;
green_rebels_title;Greens;;;;;;;;;;;;;x;;;;
green_rebels_name;$COUNTRY$ Greens;;;;;;;;;;;;;x;;;;
green_rebels_desc;Green organizations are ecologically-minded groups that seek to reduce or eliminate man's negative effects on the planet. While often preferring peaceful resistance and political action, some groups are organized and determined enough to form ecological militias.;;;;;;;;;;;;;x;;;;
green_rebels_army;$COUNTRY_ADJ$ Eco Liberation Front;;;;;;;;;;;;;x;;;;
conservative_rebels_title;Conservatives;;;;;;;;;;;;;x;;;;
conservative_rebels_name;$COUNTRY$ Conservatives;;;;;;;;;;;;;x;;;;
conservative_rebels_desc;Conservatives seek to slow down the pace of social and political reform, or to stop it altogether, as they perceive the current status quo as superior to the proposed changes. When rising up in arms, these typically organize themselves in irregular (yet structured) militias.;;;;;;;;;;;;;x;;;;
conservative_rebels_army;$COUNTRY_ADJ$ Militias;;;;;;;;;;;;;x;;;;
nationalist_rebels_title;Nationalists;;;;;;;;;;;;;x;;;;
nationalist_rebels_name;$COUNTRY$ Nationalists;;;;;;;;;;;;;x;;;;
nationalist_rebels_desc;Nationalists consider that the strength and security of the Nation should be the foremost duty of the government, and rise up in arms when they do not consider the current government to be up to par. They are not particularly tied to any ideology, and will often rise up in response of real (or perceived) loss of sovereignty, turmoil, or weakness.;;;;;;;;;;;;;x;;;;
nationalist_rebels_army;$COUNTRY_ADJ$ National Salvation Front;;;;;;;;;;;;;x;;;;
independance_rebels_title;$INDEP$ Nationalist;;;;;;;;;;;;;x;;;;
independance_rebels_name;$INDEP$ Independance Movement;;;;;;;;;;;;;x;;;;
independance_rebels_desc;Independance rebels seek freedom for their people. They are well led and equipped, and they will focus on achieving independence for their nation.;Les rebelles nationalistes veulent la libert?pour leur peuple. Bien men廥 et bien 廦uip廥, ils vont tout mettre en vre pour obtenir l'ind廧endance de leur nation.;Nationalistische Rebellen k鄝pfen f die Freiheit ihres Volkes. Gut diszipliniert und ausgertet konzentrieren sich auf die Erlangung der Unabh鄚gigkeit f ihr Land.;;Los rebeldes nacionalistas buscan la libertad de su pueblo. Est嫕 bien dirigidos y equipados, y se afanar嫕 en lograr la independencia de su naci鏮.;;;;;;;;;x;;;;
independance_rebels_army;$INDEP$ Nationalists;;;;;;;;;;;;;x;;;;
traditionalist_rebels_title;Traditionalists;;;;;;;;;;;;;x;;;;
traditionalist_rebels_name;$COUNTRY$ Traditionalists;;;;;;;;;;;;;x;;;;
traditionalist_rebels_desc;Traditionalists consider that the nation has progressed far beyond an ideal point, and support the return to traditional values and institutions. Accused of being reactionarie by their detractors, they often simply call themselves "Counter-revolutionaries" when they rise up in arms.;;;;;;;;;;;;;x;;;;
traditionalist_rebels_army;$COUNTRY_ADJ$ Contras;;;;;;;;;;;;;x;;;;
ultranationalist_rebels_title;Ultranationalists;;;;;;;;;;;;;x;;;;
ultranationalist_rebels_name;$COUNTRY$ Ultranationalists;;;;;;;;;;;;;x;;;;
ultranationalist_rebels_desc;Ultranationalists view the total subordination of the individual and the collective to the Nation, lead by a powerful state and government. Often eschewing democracy and peaceful methods, they will often seek to overthrow governments they consider weak by violent means.;;;;;;;;;;;;;x;;;;
ultranationalist_rebels_army;$COUNTRY_ADJ$ Defense Forces;;;;;;;;;;;;;x;;;;
